"","accession","year","misc"
"1","CY013200",1993,"(A/New York/783/1993(H3N2))"
"2","CY013781",1993,"(A/New York/802/1993(H3N2))"
"3","CY012128",1993,"(A/New York/758/1993(H3N2))"
"4","CY013613",1993,"(A/New York/766/1993(H3N2))"
"5","CY012160",1993,"(A/New York/762/1993(H3N2))"
"6","CY012272",1994,"(A/New York/729/1994(H3N2))"
"7","CY010988",1994,"(A/New York/733/1994(H3N2))"
"8","CY012288",1994,"(A/New York/734/1994(H3N2))"
"9","CY012568",1994,"(A/New York/746/1994(H3N2))"
"10","CY013016",1994,"(A/New York/750/1994(H3N2))"
"11","CY012480",1995,"(A/New York/666/1995(H3N2))"
"12","CY010748",1995,"(A/New York/648/1995(H3N2))"
"13","CY011528",1995,"(A/New York/669/1995(H3N2))"
"14","CY017291",1995,"(A/New York/681/1995(H3N2))"
"15","CY012504",1995,"(A/New York/678/1995(H3N2))"
"16","CY009476",1996,"(A/New York/565/1996(H3N2))"
"17","CY010028",1996,"(A/New York/591/1996(H3N2))"
"18","CY011128",1996,"(A/New York/599/1996(H3N2))"
"19","CY010036",1996,"(A/New York/592/1996(H3N2))"
"20","CY011424",1996,"(A/New York/577/1996(H3N2))"
"21","CY006259",1997,"(A/New York/511/1997(H3N2))"
"22","CY006243",1997,"(A/New York/508/1997(H3N2))"
"23","CY006267",1997,"(A/New York/513/1997(H3N2))"
"24","CY006235",1997,"(A/New York/505/1997(H3N2))"
"25","CY006627",1997,"(A/New York/547/1997(H3N2))"
"26","CY006787",1998,"(A/New York/506/1998(H3N2))"
"27","CY006563",1998,"(A/New York/533/1998(H3N2))"
"28","CY002384",1998,"(A/New York/330/1998(H3N2))"
"29","CY008964",1998,"(A/New York/540/1998(H3N2))"
"30","CY006595",1998,"(A/New York/542/1998(H3N2))"
"31","CY001453",1999,"(A/New York/184/1999(H3N2))"
"32","CY001413",1999,"(A/New York/263/1999(H3N2))"
"33","CY001704",1999,"(A/New York/257/1999(H3N2))"
"34","CY001616",1999,"(A/New York/265/1999(H3N2))"
"35","CY003785",1999,"(A/New York/422/1999(H3N2))"
"36","CY000737",2000,"(A/New York/180/2000(H3N2))"
"37","CY001365",2000,"(A/New York/187/2000(H3N2))"
"38","CY003272",2000,"(A/New York/437/2000(H3N2))"
"39","CY000705",2000,"(A/New York/175/2000(H3N2))"
"40","CY000657",2000,"(A/New York/169/2000(H3N2))"
"41","CY002816",2001,"(A/New York/301/2001(H3N2))"
"42","CY000584",2001,"(A/New York/127/2001(H3N2))"
"43","CY001720",2001,"(A/New York/273/2001(H3N2))"
"44","CY000185",2001,"(A/New York/83/2001(H3N2))"
"45","CY002328",2001,"(A/New York/77/2001(H3N2))"
"46","CY000297",2002,"(A/New York/96/2002(H3N2))"
"47","CY003096",2002,"(A/New York/403/2002(H3N2))"
"48","CY000545",2002,"(A/New York/115/2002(H3N2))"
"49","CY000289",2002,"(A/New York/92/2002(H3N2))"
"50","CY001152",2002,"(A/New York/74/2002(H3N2))"
"51","CY000105",2003,"(A/New York/60A/2003(H3N2))"
"52","CY002104",2003,"(A/Memphis/31/03(H3N2))"
"53","CY001648",2003,"(A/New York/270/2003(H3N2))"
"54","CY000353",2003,"(A/New York/21/2003(H3N2))"
"55","CY001552",2003,"(A/New York/215/2003(H3N2))"
"56","CY019245",2004,"(A/New York/908/2004(H3N2))"
"57","CY021989",2004,"(A/New York/908/2004(H3N2))"
"58","CY003336",2004,"(A/New York/354/2004(H3N2))"
"59","CY003664",2004,"(A/New York/471/2004(H3N2))"
"60","CY002432",2004,"(A/New York/362/2004(H3N2))"
"61","CY003640",2005,"(A/New York/463/2005(H3N2))"
"62","CY019301",2005,"(A/New York/918/2005(H3N2))"
"63","CY019285",2005,"(A/New York/913/2005(H3N2))"
"64","CY006155",2005,"(A/New York/258/2005(H3N2))"
"65","CY034116",2005,"(A/Wisconsin/67/2005(H3N2))"
"66","EF554795",2006,"(A/Ohio/2006(H3N2))"
"67","CY019859",2006,"(A/New York/938/2006(H3N2))"
"68","EU100713",2006,"(A/Maryland/09/2006(H3N2))"
"69","CY019843",2006,"(A/New York/933/2006(H3N2))"
"70","CY014159",2006,"(A/New York/7/2006(H3N2))"
"71","EU199369",2007,"(A/Minnesota/08/2007(H3N2))"
"72","EU199254",2007,"(A/Idaho/01/2007(H3N2))"
"73","CY031555",2007,"(A/Kentucky/UR06-0571/2007(H3N2))"
"74","EU516036",2007,"(A/Georgia/07/2007(H3N2))"
"75","EU516212",2007,"(A/California/33/2007(H3N2))"
"76","FJ549055",2008,"(A/Illinois/14/2008(H3N2))"
"77","EU779498",2008,"(A/Mississippi/01/2008(H3N2))"
"78","EU779500",2008,"(A/Indiana/02/2008(H3N2))"
"79","CY035190",2008,"(A/Pennsylvania/PIT43/2008(H3N2))"
"80","EU852005",2008,"(A/Texas/06/2008(H3N2))"
